,Log_Key,Level,Feature,Structure,Information,Wording
414,org.apache.cassandra.auth.jmx.AuthorizationProxy.getRequiredPermission432,debug,"['<level>', 'debug', '</level>', '<message>', 'Access', 'denied,', 'method', 'name', '{}', 'does', 'not', 'map', 'to', 'any', 'defined', 'permission', '</message>']",1,1,1
1871,org.apache.cassandra.config.CFMetaData.apply926,debug,"['<level>', 'debug', '</level>', '<message>', 'application', 'result', 'is', '{}', '</message>']",1,1,0
869,org.apache.cassandra.config.DatabaseDescriptor.applySimpleConfig353,debug,"['<level>', 'debug', '</level>', '<message>', 'Syncing', 'log', 'with', 'a', 'batch', 'window', 'of', '{}', '</message>']",1,1,1
1873,org.apache.cassandra.config.YamlConfigurationLoader.loadConfig108,debug,"['<level>', 'debug', '</level>', '<message>', 'Loading', 'settings', 'from', '{}', '</message>']",1,1,1
564,org.apache.cassandra.db.ColumnFamilyStore.flushMemtable1233,debug,"['<level>', 'debug', '</level>', '<message>', 'Flushed', 'to', '{}', '({}', 'sstables,', '{}),', 'biggest', '{},', 'smallest', '{}', '</message>']",1,1,1
892,org.apache.cassandra.db.commitlog.AbstractCommitLogSegmentManager.stopUnsafe403,debug,"['<level>', 'debug', '</level>', '<message>', 'CLSM', 'closing', 'and', 'clearing', 'existing', 'commit', 'log', 'segments...', '</message>']",1,1,0
893,org.apache.cassandra.db.commitlog.EncryptedSegment.EncryptedSegment80,debug,"['<level>', 'debug', '</level>', '<message>', 'created', 'a', 'new', 'encrypted', 'commit', 'log', 'segment:', '{}', '</message>']",1,1,0
2204,org.apache.cassandra.db.compaction.CompactionManager.relocateSSTables580,debug,"['<level>', 'debug', '</level>', '<message>', 'Relocating', '{}', '</message>']",1,0,1
768,org.apache.cassandra.db.monitoring.MonitoringTask.logFailedOperations152,debug,"['<level>', 'debug', '</level>', '<message>', '{}', 'operations', 'timed', 'out', 'in', 'the', 'last', '{}', 'msecs:{}{}', '</message>']",0,1,1
769,org.apache.cassandra.db.monitoring.MonitoringTask.logSlowOperations173,debug,"['<level>', 'debug', '</level>', '<message>', '{}', 'operations', 'were', 'slow', 'in', 'the', 'last', '{}', 'msecs:{}{}', '</message>']",0,1,1
1625,org.apache.cassandra.gms.FailureDetector.interpret302,debug,"['<level>', 'debug', '</level>', '<message>', 'PHI', 'for', '{}', ':', '{}', '</message>']",1,0,0
349,org.apache.cassandra.gms.Gossiper.maybeFinishShadowRound1599,debug,"['<level>', 'debug', '</level>', '<message>', 'All', 'seeds', 'are', 'in', 'a', 'shadow', 'round,', 'clearing', 'this', 'node', 'to', 'exit', 'its', 'own', '</message>']",1,1,1
1057,org.apache.cassandra.gms.Gossiper.realMarkAlive1010,debug,"['<level>', 'debug', '</level>', '<message>', 'removing', 'expire', 'time', 'for', 'endpoint', ':', '{}', '</message>']",1,1,0
2001,org.apache.cassandra.gms.Gossiper.removeEndpoint426,debug,"['<level>', 'debug', '</level>', '<message>', 'removing', 'endpoint', '{}', '</message>']",1,1,0
2398,org.apache.cassandra.gms.Gossiper.replacementQuarantine457,debug,"['<level>', 'debug', '</level>', '<message>', ' ', '</message>']",0,0,0
2008,org.apache.cassandra.io.sstable.SSTable.delete105,debug,"['<level>', 'debug', '</level>', '<message>', 'Deleting', 'sstable:', '{}', '</message>']",1,1,1
1878,org.apache.cassandra.net.OutboundTcpConnection.writeConnected350,debug,"['<level>', 'debug', '</level>', '<message>', 'Error', 'writing', 'to', '{}', '</message>']",1,1,1
561,org.apache.cassandra.repair.RepairSession.syncComplete201,debug,"['<level>', 'debug', '</level>', '<message>', '[repair', '#{}]', 'Repair', 'completed', 'between', '{}', 'and', '{}', 'on', '{}', '</message>']",1,1,1
757,org.apache.cassandra.repair.Validator.complete242,debug,"['<level>', 'debug', '</level>', '<message>', 'Validated', '{}', 'partitions', 'for', '{}.', 'Partition', 'sizes', 'are:', '</message>']",1,1,1
1302,org.apache.cassandra.service.ActiveRepairService.convict781,debug,"['<level>', 'debug', '</level>', '<message>', 'Removing', '{}', 'in', 'parent', 'repair', 'sessions', '</message>']",1,1,1
762,org.apache.cassandra.service.StorageProxy.submitHint2745,debug,"['<level>', 'debug', '</level>', '<message>', 'Discarding', 'hint', 'for', 'endpoint', 'not', 'part', 'of', 'ring:', '{}', '</message>']",1,1,1
562,org.apache.cassandra.service.StorageProxy.truncateBlocking2489,debug,"['<level>', 'debug', '</level>', '<message>', 'Starting', 'a', 'blocking', 'truncate', 'operation', 'on', 'keyspace', '{},', 'CF', '{}', '</message>']",1,1,0
763,org.apache.cassandra.service.StorageService.checkForEndpointCollision565,debug,"['<level>', 'debug', '</level>', '<message>', 'Starting', 'shadow', 'gossip', 'round', 'to', 'check', 'for', 'endpoint', 'collision', '</message>']",1,1,1
