System,ID,Callsite,Line,Level,Log,Structural,Information,Wording
Cassandra,6,org.apache.cassandra.auth.CassandraAuthorizer.convertLegacyData,455,info,java.lang.String(name)Unable to complete conversion of legacy permissions data (perhaps not enough nodes are upgraded yet). Conversion should not be considered complete,o,o,o
Cassandra,2,org.apache.cassandra.auth.CassandraAuthorizer.revokeAllFrom,154,warn,java.lang.String(name)CassandraAuthorizer failed to revoke all permissions of {}: {}-java.lang.String(name)revokee.getRoleName()-org.apache.cassandra.exceptions.CassandraException(name)e,o,o,o
Cassandra,3,org.apache.cassandra.auth.CassandraAuthorizer.revokeAllOn,191,warn,java.lang.String(name)CassandraAuthorizer failed to revoke all permissions on {}: {}-org.apache.cassandra.auth.IResource(name)droppedResource-org.apache.cassandra.exceptions.CassandraException(name)e,o,o,o
Cassandra,10,org.apache.cassandra.auth.CassandraRoleManager.apply,98,warn,"java.lang.String(name)An invalid value has been detected in the {} table for role {}. If you are unable to login, you may need to disable authentication and confirm that values in that table are accurate-java.lang.String(name)roles-java.lang.String(name)row.getString(""role"")",o,o,o
Cassandra,19,org.apache.cassandra.auth.CassandraRoleManager.convertLegacyData,452,info,java.lang.String(name)Unable to complete conversion of legacy auth data (perhaps not enough nodes are upgraded yet). Conversion should not be considered complete,o,o,o
Cassandra,13,org.apache.cassandra.auth.CassandraRoleManager.scheduleSetupTask,388,trace,"java.lang.String(name)Not all nodes are upgraded to a version that supports Roles yet, rescheduling setup task",o,o,o
Cassandra,34,org.apache.cassandra.auth.jmx.AuthorizationProxy.getRequiredPermission,432,debug,"java.lang.String(name)Access denied, method name {} does not map to any defined permission-java.lang.String(name)methodName",o,o,o
Cassandra,48,org.apache.cassandra.batchlog.LegacyBatchlogMigrator.asyncRemoveFromBatchlog,154,trace,java.lang.String(name)Sending legacy batchlog remove request {} to {}-java.util.UUID(name)uuid-java.net.InetAddress(name)target,o,o,o
Cassandra,50,org.apache.cassandra.cache.AutoSavingCache.loadSaved,271,trace,java.lang.String(name)completed reading ({} ms; {} keys) saved cache {}-long(name)TimeUnit.NANOSECONDS.toMillis(System.nanoTime() - start)-int(name)count-java.io.File(name)dataPath,o,o,x
Cassandra,54,org.apache.cassandra.client.RingCache.refreshEndpointMap,96,trace,java.lang.String(name)Error contacting seed list {} {}-java.lang.String(name)ConfigHelper.getOutputInitialAddress(conf)-java.lang.String(name)e.getMessage(),x,o,o
Cassandra,55,org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor.handleOrLog,239,error,java.lang.String(name)Error in ThreadPoolExecutor-java.lang.Throwable(name)t,o,x,x
Cassandra,67,org.apache.cassandra.config.CFMetaData.apply,926,debug,java.lang.String(name)application result is {}-org.apache.cassandra.config.CFMetaData(name)this,o,o,x
Cassandra,68,org.apache.cassandra.config.DatabaseDescriptor.applySimpleConfig,353,debug,java.lang.String(name)Syncing log with a batch window of {}-double(name)conf.commitlog_sync_batch_window_in_ms,o,o,o
Cassandra,80,org.apache.cassandra.config.DatabaseDescriptor.applySimpleConfig,556,warn,java.lang.String(name)Only {} free across all data volumes. Consider adding more capacity to your cluster or removing obsolete snapshots-java.lang.String(name)FBUtilities.prettyPrintMemory(dataFreeBytes),o,o,o
Cassandra,75,org.apache.cassandra.config.DatabaseDescriptor.applySimpleConfig,480,warn,java.lang.String(name)Small commitlog volume detected at {}; setting commitlog_total_space_in_mb to {}. You can override this in cassandra.yaml-java.lang.String(name)conf.commitlog_directory-int(name)minSize,o,o,o
Cassandra,77,org.apache.cassandra.config.DatabaseDescriptor.applySimpleConfig,507,warn,java.lang.String(name)Small cdc volume detected at {}; setting cdc_total_space_in_mb to {}. You can override this in cassandra.yaml-java.lang.String(name)conf.cdc_raw_directory-int(name)minSize,o,o,o
Cassandra,82,org.apache.cassandra.config.DatabaseDescriptor.applySimpleConfig,588,warn,"java.lang.String(name)memtable_cleanup_threshold is set very low [{}], which may cause performance degradation-java.lang.Float(name)conf.memtable_cleanup_threshold",o,o,o
Cassandra,65,org.apache.cassandra.config.YamlConfigurationLoader.loadConfig,108,debug,java.lang.String(name)Loading settings from {}-java.net.URL(name)url,o,o,o
Cassandra,96,org.apache.cassandra.cql3.functions.ScriptBasedUDFunction.ScriptBasedUDFunction,153,info,java.lang.String(name)Failed to compile function '{}' for language {}: -org.apache.cassandra.cql3.functions.FunctionName(name)name-java.lang.String(name)language-java.lang.Throwable(name)e,o,o,o
Cassandra,89,org.apache.cassandra.cql3.QueryProcessor.preloadPreparedStatement,160,warn,java.lang.String(name)prepared statement recreation error: {}-java.lang.String(name)useKeyspaceAndCQL.right-org.apache.cassandra.exceptions.RequestValidationException(name)e,o,o,x
Cassandra,92,org.apache.cassandra.cql3.QueryProcessor.processPrepared,528,trace,java.lang.String(name)[{}] '{}'-int(name)i + 1-java.nio.ByteBuffer(name)variables.get(i),x,x,x
Cassandra,91,org.apache.cassandra.cql3.QueryProcessor.processStatement,220,trace,java.lang.String(name)Process {} @CL.{}-org.apache.cassandra.cql3.CQLStatement(name)statement-org.apache.cassandra.cql3.ConsistencyLevel(name)options.getConsistency(),o,x,x
Cassandra,111,org.apache.cassandra.cql3.statements.CreateIndexStatement.announceMigration,253,trace,java.lang.String(name)Updating index definition for {}-java.lang.String(name)indexName,o,o,o
Cassandra,106,org.apache.cassandra.cql3.statements.CreateViewStatement.announceMigration,330,warn,java.lang.String(name)Creating materialized view {} for {}.{}. Materialized views are experimental and are not recommended for production use.-java.lang.String(name)definition.viewName-java.lang.String(name)cfm.ksName-java.lang.String(name)cfm.cfName,o,o,o
Cassandra,164,org.apache.cassandra.db.ColumnFamilyStore.flushMemtable,1233,debug,"java.lang.String(name)Flushed to {} ({} sstables, {}), biggest {}, smallest {}-java.util.List<SSTableReader>(name)sstables-int(name)sstables.size()-java.lang.String(name)FBUtilities.prettyPrintMemory(totalBytesOnDisk)-java.lang.String(name)FBUtilities.prettyPrintMemory(maxBytesOnDisk)-java.lang.String(name)FBUtilities.prettyPrintMemory(minBytesOnDisk)",o,o,o
Cassandra,166,org.apache.cassandra.db.ColumnFamilyStore.getOverlappingLiveSSTables,1381,trace,java.lang.String(name)Checking for sstables overlapping {}-java.lang.Iterable<SSTableReader>(name)sstables,o,o,o
Cassandra,155,org.apache.cassandra.db.ColumnFamilyStore.loadNewSSTables,763,error,"java.lang.String(name)Cannot read sstable {}; other IO error, skipping table-java.util.Entry<Descriptor,Set<Component>>(name)entry-java.io.IOException(name)e",o,o,o
Cassandra,158,org.apache.cassandra.db.ColumnFamilyStore.loadNewSSTables,799,error,"java.lang.String(name)Cannot read sstable {}; file system error, skipping table-java.util.Entry<Descriptor,Set<Component>>(name)entry-org.apache.cassandra.io.FSError(name)ex",o,o,o
Cassandra,159,org.apache.cassandra.db.ColumnFamilyStore.loadNewSSTables,805,error,"java.lang.String(name)Cannot read sstable {}; other IO error, skipping table-java.util.Entry<Descriptor,Set<Component>>(name)entry-java.io.IOException(name)ex",o,o,o
Cassandra,151,org.apache.cassandra.db.ColumnFamilyStore.scheduleFlush,314,trace,java.lang.String(name)scheduling flush in {} ms-int(name)period,o,o,x
Cassandra,152,org.apache.cassandra.db.ColumnFamilyStore.setCompactionParameters,376,error,java.lang.String(name)Could not set new local compaction strategy-java.lang.Throwable(name)t,o,o,o
Cassandra,167,org.apache.cassandra.db.ColumnFamilyStore.snapshotWithoutFlush,1815,trace,java.lang.String(name)Snapshot for {} keyspace data file {} created in {}-org.apache.cassandra.db.Keyspace(name)keyspace-java.lang.String(name)ssTable.getFilename()-java.io.File(name)snapshotDirectory,o,o,o
Cassandra,175,org.apache.cassandra.db.ColumnFamilyStore.truncateBlocking,2242,info,java.lang.String(name)Truncate of {}.{} is complete-java.lang.String(name)keyspace.getName()-java.lang.String(name)name,o,o,o
Cassandra,172,org.apache.cassandra.db.ColumnFamilyStore.truncateBlocking,2189,info,java.lang.String(name)Truncating {}.{}-java.lang.String(name)keyspace.getName()-java.lang.String(name)name,o,x,o
Cassandra,197,org.apache.cassandra.db.commitlog.AbstractCommitLogSegmentManager.stopUnsafe,403,debug,java.lang.String(name)CLSM closing and clearing existing commit log segments...,o,o,x
Cassandra,202,org.apache.cassandra.db.commitlog.CommitLog.discardCompletedSegments,313,trace,"java.lang.String(name)Not safe to delete{} commit log segment {}; dirty is {}-java.lang.String(name)(iter.hasNext() ? """" : "" active"")-org.apache.cassandra.db.commitlog.CommitLogSegment(name)segment-java.lang.String(name)segment.dirtyString()",x,o,o
Cassandra,203,org.apache.cassandra.db.commitlog.CommitLog.handleCommitError,466,error,java.lang.String(name)message-java.lang.Throwable(name)t,x,x,x
Cassandra,205,org.apache.cassandra.db.commitlog.CommitLogArchiver.maybeArchive,179,warn,"java.lang.String(name)Archiving file {} failed, file may have already been archived.-java.lang.String(name)name-java.io.IOException(name)e",o,o,o
Cassandra,208,org.apache.cassandra.db.commitlog.EncryptedSegment.EncryptedSegment,80,debug,java.lang.String(name)created a new encrypted commit log segment: {}-java.io.File(name)logFile,o,o,x
Cassandra,268,org.apache.cassandra.db.compaction.CompactionManager.afterExecute,1809,info,java.lang.String(name)t.getMessage(),x,x,x
Cassandra,263,org.apache.cassandra.db.compaction.CompactionManager.antiCompactGroup,1559,info,java.lang.String(name)Anticompacting {}-org.apache.cassandra.db.lifecycle.LifecycleTransaction(name)anticompactionGroup,o,x,o
Cassandra,261,org.apache.cassandra.db.compaction.CompactionManager.doAntiCompaction,1538,info,java.lang.String(name)format-int(name)numAnticompact-int(name)antiCompactedSSTableCount,x,x,x
Cassandra,252,org.apache.cassandra.db.compaction.CompactionManager.forceUserDefinedCleanup,880,error,java.lang.String(name)Cleanup cannot run before a node has joined the ring,o,o,o
Cassandra,254,org.apache.cassandra.db.compaction.CompactionManager.forceUserDefinedCleanup,905,error,java.lang.String(name)forceUserDefinedCleanup failed: {}-java.lang.String(name)e.getLocalizedMessage(),o,x,x
Cassandra,253,org.apache.cassandra.db.compaction.CompactionManager.forceUserDefinedCleanup,894,warn,"java.lang.String(name)Will not clean {}, it is not an active sstable-org.apache.cassandra.io.sstable.Descriptor(name)entry.getValue()",o,o,o
Cassandra,251,org.apache.cassandra.db.compaction.CompactionManager.forceUserDefinedCleanup,868,warn,java.lang.String(name)Schema does not exist for file {}. Skipping.-java.lang.String(name)filename,o,o,o
Cassandra,250,org.apache.cassandra.db.compaction.CompactionManager.forceUserDefinedCompaction,842,warn,java.lang.String(name)Schema does not exist for file {}. Skipping.-java.lang.String(name)filename,o,o,o
Cassandra,247,org.apache.cassandra.db.compaction.CompactionManager.relocateSSTables,580,debug,java.lang.String(name)Relocating {}-java.util.Set<SSTableReader>(name)txn.originals(),o,x,o
Cassandra,246,org.apache.cassandra.db.compaction.CompactionManager.relocateSSTables,527,info,java.lang.String(name)Relocate cannot run before a node has joined the ring,o,o,o
Cassandra,242,org.apache.cassandra.db.compaction.CompactionManager.run,252,trace,java.lang.String(name)Checking {}.{}-java.lang.String(name)cfs.keyspace.getName()-java.lang.String(name)cfs.name,o,x,o
